entity,english
香蕉冠腐病,Banana crown rot
香蕉黑带象甲,Banana stem borer weevil
斜纹夜蛾,Cotton leaf worm，Common cutworm，Cluster caterpillar，Tobacco semi-looper
香蕉弄蝶,Banana leaf skipper
草莓枯萎病,Strawberry blight
草莓根腐病,Strawberry root rot
草莓炭疽病,Strawberry Anthracnose
草莓蛇眼病,nan
草莓白粉病,Strawberry powdery mildew
草莓褐斑病,Strawberry brown spot
草莓灰霉病,Strawberry gray mold
草莓青枯病,Strawberry bacterial wilt
草莓细菌性叶斑病,Strawberry angular leaf spot
草莓病毒病,Strawberry virus disease
草莓畸形果,Strawberry irregular fruit
草莓缺素症,nan
草莓V型褐斑病,Gnomonia fructicola (Arnaud) Fall
草莓(丝核菌)芽枯病,nan
草莓(终极腐霉)烂果病,nan
草莓革腐病,Strawberry leather rot
草莓灰斑病,Strawberry Phyllosticta leaf spot
草莓镰孢霉果腐病,nan
草莓轮斑病,nan
桃蚜,Green Peach aphid
萝卜蚜,turnip aphid
小地老虎,Black cutworm
东方蝼蛄,African mole cricket
蛴螬,grub
枣尺蠖,Zizyphus geometrid
黄刺蛾,Oriental moth
枣奕刺蛾,nan
枣桃六点天蛾,Peach hornworm
桃小食心虫,Peach fruit borer
星天牛,Mulberry white-spotted longicorn
梨圆蚧,San Jose scale
草履蚧,Giant mealy bug
日本龟蜡蚧,Japanese wax scale
康氏粉蚧,Comstock mealy bug
枣壁虱,nan
黑绒金龟子,Smaller velvety chafer
八点广翅蜡蝉,nan
柿疯病,Persimmon witches broom
柿炭疽病,Kaki Persimmon anthracnose
柿灰霉病,Persimmon gray mold
柿角斑病,Kaki Persimmon angular spot
柿圆斑病,Persimmon leaf spot
柿红叶枯病,nan
柿黑星病,Persimmon scab
柿干枯病,Persimmon canker
柿白纹羽病,Persimmon white root rot
柿蒂虫,Persimm fruit worm
柿星尺蠖,Large black-spotted geometrid
舞毒蛾,Gypsy moth
折带黄毒蛾,Oriental tussock moth
褐点粉灯蛾,nan
柿小叶蝉,Red-maculated leafhopper
柿绒蚧,Persimmon mealy bug
柿长绵粉蚧,Elongate cottony scale
柿梢鹰夜蛾,nan
苹果梢夜蛾,nan
木橑尺蠖,Walnut geometrid
黑圆角蝉,Globular treehopper
铜绿丽金龟,Blue chafer
石榴干腐病,Pomegranate dry rot
石榴黑斑病,Pomegranate leaf spot
石榴根结线虫病,Pomegranate root－knot nematode disease
石榴巾夜蛾,Thick-legged moth
大蓑蛾,Cotton bagworm
石榴茎窗蛾,nan
石榴疮痂病,pomegranate stem scab
石榴裂果,nan
桃蛀螟,"yellow peach moth，Peach pyralid moth,cone moth"
樗蚕蛾,Philosamia cynthia
石榴绒蚧,Grape myrtle scale
麻皮蝽,Yellow marmorated stink bug
柑橘疮痂病,Citrus scab
柑橘脂点黄斑病,Greasy yellow spot of citrus
柑橘炭疽病,Citrus anthracnose
柑橘裂皮病,Citrus exocortis
柑橘疫霉病,Citrus brown rot
柑橘煤污病,Citrus sooty mold
柑橘黄龙病,Citrus yellow shoot
柑橘溃疡病,Citrus canker
柑橘衰退病,Citrus tristeza virus
柑橘赤衣病,Citrus pink disease
柑橘黑腐病,Citrus black rot
柑橘树脂病,Citrus melanose
嘴壶夜蛾,fruit-piercing moth
鸟嘴壶夜蛾,fruit－piercing moth
柑橘花蕾蛆,Citrus blossom midge
柑橘青霉病,Citrus blue mold
柑橘小实蝇,Oriental fruit fly
柑橘大实蝇,Chinese citrus fly
橘二叉蚜,Black citrus aphid
橘蚜,Tropical Citrus aphid
大绿蝽,nan
瓜褐蝽,Nine incense bug
柑橘粉虱,citrus whiefly
黑刺粉虱,Citrus spiny white fly
柑橘木虱,Citrus psylla
吹绵蚧,Cottony cushion scale
堆蜡粉蚧,Citrus mealy bugs
矢尖蚧,Arrowhead scale
红蜡蚧,Red wax Scale
褐圆蚧,Florida red scale
糠片蚧,Chaff scale
柑橘全爪螨,Citrus red mite
柑橘始叶螨,nan
柑橘凤蝶,Citrus swallowtail
拟小黄卷叶蛾,Citrus leaf-rollers
茶蓑蛾,Tea bagworm
油桐尺蛾,nan
达摩凤蝶,chequered swallowtail butterfly，lemon butterfly
玉带凤蝶,White-banded swallowtails
柑橘恶性叶甲,nan
绿鳞象甲,Cotton green weevil
柑橘灰象甲,nan
柑橘潜叶蛾,Citrus leaf miner
柑橘爆皮虫,flatheaded citrus borer
柑橘溜皮虫,Citrus buprestids
橘褐天牛,nan
光盾绿天牛,nan
黑翅土白蚁,Formosan subterranean termite
荔枝霜疫霉病,Litchi downy blight
荔枝炭疽病,Litchi anthracnose
荔枝酸腐病,Litchi sour rot
荔枝藻斑病,Litchi algal spot。
荔枝鬼帚病,Litchi witches’broom
荔枝叶斑病,Litchi brown blotch
黑蚱蝉,Black cicada
龙眼褐斑病,Longan brown blotch
桥夜蛾,Anomis mesogona Walker
荔枝斑点病,Litchi Coniothyrium leaf spot
荔枝壳二孢叶斑病,nan
荔枝煤烟病,Litchi sooty mold
荔枝叶枯病,Litchi leaf blight
荔枝地衣病,nan
荔枝裂果,nan
荔枝蝽,Litchi stink-bug
荔枝瘿螨,nan
龙眼角颊木虱,Longan psyllid
红带滑胸针蓟马,nan
荔枝茸毒蛾,Litchi pale tussock moth
白蛾蜡蝉,Mango cicada
龙眼灰斑病,Psstalozzia leaf spot
龙眼酸腐病,nan
双线盗毒蛾,Cashew hairy catepillar
小白纹毒蛾,Small tussock moth
爻纹细蛾,nan
蓖麻夜蛾,nan
毛翅夜蛾,Rose of Sharon leaf-like moth
落叶夜蛾,nan
茶卷叶蛾,nan
油桐尺蠖,nan
咖啡木蠹蛾,Red coffee borer
白囊蓑蛾,White psychid
银毛吹棉蚧,Okada cottony-cushion scale
龙眼鸡,Longan lantern-fly
角蜡蚧,Indian wax scale
珀蝽,Brown-winged green bug
点蜂缘蝽,Been bug
小青花金龟,Smaller green flower chafer
白星花金龟,White-spotted flower chafer
芒果炭疽病,Mango anthracnose
芒果疮痂病,Mango scab
芒果流胶病,Mango gummosis
芒果细菌性黑斑病,nan
芒果白粉病,Mango powdery mildew
芒果黑色蒂腐病,Mango storage Dothiorella rot
芒果褐色蒂腐病,Phomopsismangiferae Ahmad
芒果横纹尾夜蛾,Mango shoot-borer
褐边绿刺蛾,Green cochlid
脊胸天牛,nan
杧果扁喙叶蝉,nan
大青叶蝉,Green leafhopper
黄褐天幕毛虫,common lackey moth
枇杷灰斑病,Loquat gray leaf spot
枇杷斑点病,Loquat Phyllosticta leaf spot
枇杷炭疽病,Loquat anthracnose
枇杷胡麻色斑点病,Loquat Entomosporium leaf spot
枇杷黄毛虫,Loquat nolid
黄星天牛,yellow-spotted longicorn beetle
香蕉交脉蚜,banana aphid
草莓疫霉果腐病,nan
香蕉巴拿马枯萎病,Banana Panama disease
香蕉灰纹病,Banana cordana leaf spot
香蕉褐缘灰斑病,Banana cercospora leaf spot
香蕉煤纹病,Banana helminthosporium leaf spot
香蕉黑星病,Banana freckle disease
香蕉炭疽病,Banana anthracnose
香蕉轴腐病,nan
香蕉花叶心腐病,Banana mosaic disease
香蕉束顶病,Banana bunchy top
斑须蝽,Sugarbeet stink bug
樱桃褐斑病,Cherry shothole brown spot
梨小食心虫,Oriental fruit moth
李小食心虫,Plum fruit moth
四纹丽金龟,Four spotted beetle
小黄卷叶蛾,nan
顶芽卷蛾,Apple fruit licker
桃斑蛾,Ume bud moth
山楂叶螨,Hawthorn spider mite
李枯叶蛾,Plum leaf-like moth
天幕毛虫,Tent caterpillar
光肩星天牛,Glabrous spotted willow borer
粒肩天牛,Mulberry longicorn
桃粉大尾蚜,Mealy Plum aphid
朝鲜球坚蚧,Korean l乳油anium
桑白蚧,White peach scale
杏球坚蚧,Korean lecanium
樱桃褐腐病,Sweet cherry brown rot
樱桃炭疽病,Sweet cherry anthracnose
樱桃灰霉病,Sweet cherry gray mold
樱桃树灰色膏药病,Sweet cherry gray felt disease
樱桃幼果菌核病,nan
樱桃小果病,nan
樱桃坏死锈斑驳病,Cherry rusty mottle
樱桃树茎沟槽病,nan
樱桃斑流胶病,Cherry gummosis
樱桃缩果病,nan
果剑纹夜蛾,Cherry dagger moth
苹掌舟蛾,Cherry caterpillar
苹蚁舟蛾,Japanese prominent
桃天蛾,Peach hornworm
桃潜叶蛾,Peach leaf miner
樱桃实蜂,nan
桃红颈天牛,Peach longicorn beetle
蚱蝉,nan
黑星麦蛾,nan
杏白带麦蛾,nan
梅木蛾,Isshiki xylorictid
桃白条紫斑蛾,nan
