entity,area,relation
香蕉黑带象甲,广东,主要发生地
香蕉黑带象甲,广西,主要发生地
香蕉黑带象甲,贵州,主要发生地
香蕉黑带象甲,福建,主要发生地
香蕉黑带象甲,台湾,主要发生地
香蕉黑带象甲,海南,主要发生地
枣壁虱,河北,主要发生地
枣壁虱,山东,主要发生地
柿小叶蝉,河北,主要发生地
柿小叶蝉,河南,主要发生地
柿小叶蝉,山东,主要发生地
柿小叶蝉,山西,主要发生地
柿小叶蝉,江苏,主要发生地
柿小叶蝉,安徽,主要发生地
柿小叶蝉,浙江,主要发生地
柿小叶蝉,四川,主要发生地
樗蚕蛾,东北,主要发生地
樗蚕蛾,中南,主要发生地
樗蚕蛾,山东,主要发生地
樗蚕蛾,北京,主要发生地
樗蚕蛾,河北,主要发生地
樗蚕蛾,河南,主要发生地
樗蚕蛾,山西,主要发生地
樗蚕蛾,江苏,主要发生地
樗蚕蛾,浙江,主要发生地
樗蚕蛾,福建,主要发生地
樗蚕蛾,台湾,主要发生地
樗蚕蛾,四川,主要发生地
柑橘溃疡病,福建,主要发生地
柑橘溃疡病,广东,主要发生地
柑橘溃疡病,广西,主要发生地
柑橘溃疡病,江西,主要发生地
柑橘溃疡病,浙江,主要发生地
柑橘溃疡病,湖南,主要发生地
柑橘溃疡病,湖北,主要发生地
柑橘溃疡病,四川,主要发生地
柑橘溃疡病,贵州,主要发生地
柑橘溃疡病,台湾,主要发生地
鸟嘴壶夜蛾,陕西,主要发生地
鸟嘴壶夜蛾,浙江,主要发生地
鸟嘴壶夜蛾,广东,主要发生地
鸟嘴壶夜蛾,台湾,主要发生地
大绿蝽,江苏,主要发生地
大绿蝽,浙江,主要发生地
大绿蝽,湖北,主要发生地
大绿蝽,江西,主要发生地
大绿蝽,湖南,主要发生地
大绿蝽,福建,主要发生地
大绿蝽,台湾,主要发生地
大绿蝽,广东,主要发生地
大绿蝽,广西,主要发生地
大绿蝽,贵州,主要发生地
大绿蝽,四川,主要发生地
柑橘粉虱,北京,主要发生地
柑橘粉虱,河北,主要发生地
柑橘粉虱,山东,主要发生地
柑橘粉虱,安徽,主要发生地
柑橘粉虱,江苏,主要发生地
柑橘粉虱,上海,主要发生地
柑橘粉虱,浙江,主要发生地
柑橘粉虱,湖北,主要发生地
柑橘粉虱,湖南,主要发生地
柑橘粉虱,福建,主要发生地
柑橘粉虱,台湾,主要发生地
柑橘粉虱,广东,主要发生地
柑橘粉虱,海南,主要发生地
柑橘粉虱,广西,主要发生地
柑橘粉虱,云南,主要发生地
柑橘粉虱,四川,主要发生地
红蜡蚧,浙江,主要发生地
红蜡蚧,贵州,主要发生地
油桐尺蛾,安徽,主要发生地
油桐尺蛾,江苏,主要发生地
油桐尺蛾,浙江,主要发生地
油桐尺蛾,江西,主要发生地
油桐尺蛾,湖北,主要发生地
油桐尺蛾,湖南,主要发生地
油桐尺蛾,四川,主要发生地
油桐尺蛾,贵州,主要发生地
油桐尺蛾,广东,主要发生地
油桐尺蛾,广西,主要发生地
油桐尺蛾,福建,主要发生地
油桐尺蛾,云南,主要发生地
柑橘溜皮虫,湖南,主要发生地
柑橘溜皮虫,福建,主要发生地
柑橘溜皮虫,江西,主要发生地
柑橘溜皮虫,广东,主要发生地
柑橘溜皮虫,广西,主要发生地
荔枝瘿螨,广西,主要发生地
爻纹细蛾,福建,主要发生地
爻纹细蛾,台湾,主要发生地
爻纹细蛾,广东,主要发生地
爻纹细蛾,海南,主要发生地
爻纹细蛾,广西,主要发生地
爻纹细蛾,四川,主要发生地
爻纹细蛾,浙江,主要发生地
蓖麻夜蛾,湖南,主要发生地
蓖麻夜蛾,台湾,主要发生地
蓖麻夜蛾,云南,主要发生地
蓖麻夜蛾,广东,主要发生地
蓖麻夜蛾,广西,主要发生地
蓖麻夜蛾,西藏,主要发生地
脊胸天牛,广东,主要发生地
脊胸天牛,广西,主要发生地
脊胸天牛,云南,主要发生地
杧果扁喙叶蝉,福建,主要发生地
杧果扁喙叶蝉,广东,主要发生地
杧果扁喙叶蝉,广西,主要发生地
杧果扁喙叶蝉,云南,主要发生地
黄星天牛,河北,主要发生地
黄星天牛,江苏,主要发生地
黄星天牛,浙江,主要发生地
黄星天牛,安徽,主要发生地
黄星天牛,江西,主要发生地
黄星天牛,四川,主要发生地
黄星天牛,云南,主要发生地
黄星天牛,台湾,主要发生地
四纹丽金龟,辽宁,主要发生地
四纹丽金龟,蒙古,主要发生地
四纹丽金龟,宁夏,主要发生地
四纹丽金龟,甘肃,主要发生地
四纹丽金龟,青海,主要发生地
四纹丽金龟,陕西,主要发生地
四纹丽金龟,山西,主要发生地
四纹丽金龟,北京,主要发生地
四纹丽金龟,河北,主要发生地
四纹丽金龟,山东,主要发生地
四纹丽金龟,江苏,主要发生地
四纹丽金龟,浙江,主要发生地
四纹丽金龟,福建,主要发生地
四纹丽金龟,台湾,主要发生地
四纹丽金龟,湖南,主要发生地
四纹丽金龟,广西,主要发生地
四纹丽金龟,四川,主要发生地
顶芽卷蛾,华北,主要发生地
顶芽卷蛾,华东,主要发生地
顶芽卷蛾,西北,主要发生地
李枯叶蛾,东北,主要发生地
李枯叶蛾,华北,主要发生地
李枯叶蛾,西北,主要发生地
李枯叶蛾,华东,主要发生地
李枯叶蛾,中南,主要发生地
樱桃实蜂,陕西,主要发生地
杏白带麦蛾,河北,主要发生地
杏白带麦蛾,河南,主要发生地
杏白带麦蛾,山西,主要发生地
杏白带麦蛾,陕西,主要发生地
樱桃粘叶蜂,西北,主要发生地
樱桃粘叶蜂,山东,主要发生地
樱桃粘叶蜂,河南,主要发生地
樱桃粘叶蜂,山西,主要发生地
樱桃粘叶蜂,四川,主要发生地
樱桃粘叶蜂,云南,主要发生地
樱桃粘叶蜂,江苏,主要发生地
樱桃卷叶蚜,吉林,主要发生地
樱桃瘿瘤头蚜,浙江,主要发生地
樱桃瘿瘤头蚜,北京,主要发生地
樱桃瘿瘤头蚜,河南,主要发生地
樱桃瘿瘤头蚜,河北,主要发生地
葡萄煤点病,吉林,主要发生地
葡萄煤点病,辽宁,主要发生地
葡萄煤点病,河北,主要发生地
葡萄煤点病,陕西,主要发生地
葡萄煤点病,河南,主要发生地
葡萄煤点病,江苏,主要发生地
葡萄房枯病,安徽,主要发生地
葡萄房枯病,江苏,主要发生地
葡萄房枯病,山东,主要发生地
葡萄房枯病,河北,主要发生地
葡萄房枯病,辽宁,主要发生地
葡萄房枯病,广东,主要发生地
葡萄大房枯病,河南,主要发生地
葡萄大房枯病,四川,主要发生地
葡萄大房枯病,广东,主要发生地
葡萄灰霉病,山东,主要发生地
葡萄灰霉病,四川,主要发生地
葡萄灰霉病,上海,主要发生地
葡萄灰霉病,湖南,主要发生地
葡萄锈病,广州,主要发生地
葡萄锈病,广西,主要发生地
葡萄锈病,云南,主要发生地
葡萄锈病,福建,主要发生地
葡萄锈病,四川,主要发生地
葡萄锈病,江南,主要发生地
葡萄根癌病,江苏,主要发生地
葡萄根癌病,安徽,主要发生地
葡萄根癌病,湖南,主要发生地
葡萄根癌病,江西,主要发生地
葡萄根癌病,辽宁,主要发生地
葡萄根癌病,上海,主要发生地
葡萄卷叶病,京,主要发生地
葡萄卷叶病,北,主要发生地
葡萄卷叶病,津,主要发生地
葡萄卷叶病,东,主要发生地
葡萄斑点病,郑州,主要发生地
葡萄斑点病,沈阳,主要发生地
葡萄瘿蚊,陕西,主要发生地
栗炭疽病,江苏,主要发生地
栗炭疽病,浙江,主要发生地
栗炭疽病,江西,主要发生地
栗炭疽病,福建,主要发生地
栗炭疽病,广东,主要发生地
栗小爪螨,北京,主要发生地
栗小爪螨,河南,主要发生地
栗小爪螨,山东,主要发生地
栗小爪螨,江苏,主要发生地
栗小爪螨,安徽,主要发生地
栗小爪螨,浙江,主要发生地
栗小爪螨,江西,主要发生地
栗透翅蛾,山东,主要发生地
栗透翅蛾,江西,主要发生地
核桃黑斑病,东北,主要发生地
核桃黑斑病,华北,主要发生地
核桃黑斑病,西北,主要发生地
核桃褐斑病,陕西,主要发生地
核桃褐斑病,河北,主要发生地
核桃褐斑病,吉林,主要发生地
核桃褐斑病,四川,主要发生地
核桃褐斑病,河南,主要发生地
核桃褐斑病,山东,主要发生地
云斑天牛,华北,主要发生地
云斑天牛,东北,主要发生地
云斑天牛,华中,主要发生地
云斑天牛,华南,主要发生地
木橑尺蠖,西北,主要发生地
木橑尺蠖,西南,主要发生地
木橑尺蠖,华中,主要发生地
核桃黑斑蚜,辽宁,主要发生地
枣焦叶病,河南,主要发生地
