entity,condition,relation
斜纹夜蛾,相对湿度75%～80%,适宜发生条件
斜纹夜蛾,田间水肥好,适宜发生条件
草莓枯萎病,土质粘重,适宜发生条件
草莓枯萎病,地势低洼,适宜发生条件
草莓枯萎病,排水不良,适宜发生条件
草莓枯萎病,地温低,适宜发生条件
草莓枯萎病,耕作粗放,适宜发生条件
草莓枯萎病,土壤过酸,适宜发生条件
草莓枯萎病,施肥不足,适宜发生条件
草莓枯萎病,偏施氮肥,适宜发生条件
草莓根腐病,土壤板结,适宜发生条件
草莓根腐病,地力下降,适宜发生条件
草莓根腐病,土壤湿度过大,适宜发生条件
草莓炭疽病,凉爽,适宜发生条件
草莓白粉病,空气湿度为80%,适宜发生条件
草莓白粉病,高温高湿,适宜发生条件
草莓灰霉病,温暖湿润,适宜发生条件
草莓青枯病,状态，湿度小,适宜发生条件
草莓畸形果,低温,适宜发生条件
枣桃六点天蛾,多雨高湿,适宜发生条件
柿炭疽病,树冠郁闭,适宜发生条件
柿炭疽病,通风透光不良,适宜发生条件
柿灰霉病,通风条件差,适宜发生条件
柿灰霉病,施氮肥多,适宜发生条件
柿圆斑病,土地瘠薄,适宜发生条件
柿圆斑病,肥料不足,适宜发生条件
石榴干腐病,地势低洼,适宜发生条件
石榴干腐病,土壤瘠薄,适宜发生条件
石榴干腐病,管理不良,适宜发生条件
石榴干腐病,树势弱,适宜发生条件
石榴干腐病,降雨不均,适宜发生条件
石榴疮痂病,多雨湿度大,适宜发生条件
柑橘脂点黄斑病,湿度大,适宜发生条件
柑橘炭疽病,高温多湿,适宜发生条件
柑橘疫霉病,地势低洼,适宜发生条件
柑橘疫霉病,排水不良,适宜发生条件
柑橘疫霉病,树冠郁闭,适宜发生条件
柑橘疫霉病,通风透光差,适宜发生条件
柑橘疫霉病,土壤干湿,适宜发生条件
柑橘黄龙病,施肥不足,适宜发生条件
柑橘黄龙病,排水不良,适宜发生条件
柑橘黄龙病,树冠郁闭,适宜发生条件
柑橘赤衣病,潮湿,适宜发生条件
柑橘黑腐病,高温多湿,适宜发生条件
柑橘青霉病,温高湿度大,适宜发生条件
柑橘始叶螨,晴天多,适宜发生条件
柑橘始叶螨,湿度低,适宜发生条件
荔枝霜疫霉病,地势低洼,适宜发生条件
荔枝霜疫霉病,土壤黏重,适宜发生条件
荔枝霜疫霉病,排水不良,适宜发生条件
荔枝霜疫霉病,荫蔽度大,适宜发生条件
荔枝藻斑病,温暖潮湿,适宜发生条件
荔枝藻斑病,通风不良,适宜发生条件
荔枝叶斑病,湿度高,适宜发生条件
