entity,crop,relation
香蕉黑带象甲,蕉麻,危害
香蕉弄蝶,香蕉,危害
香蕉弄蝶,芭蕉,危害
草莓枯萎病,草莓,危害
草莓根腐病,草莓,危害
草莓白粉病,草莓,危害
草莓褐斑病,草莓,危害
草莓灰霉病,草莓,危害
草莓青枯病,草莓,危害
草莓病毒病,草莓,危害
桃蚜,树,危害
萝卜蚜,萝卜,危害
萝卜蚜,白菜,危害
萝卜蚜,油菜,危害
萝卜蚜,十字花,危害
小地老虎,豆类,危害
小地老虎,茄果类,危害
小地老虎,瓜类,危害
小地老虎,十字花科蔬菜,危害
东方蝼蛄,大豆,危害
东方蝼蛄,花生,危害
东方蝼蛄,甘薯,危害
枣尺蠖,苹果,危害
枣尺蠖,沙果,危害
黄刺蛾,苹果,危害
黄刺蛾,樱桃,危害
黄刺蛾,山楂,危害
黄刺蛾,海棠,危害
黄刺蛾,石榴,危害
黄刺蛾,核桃,危害
黄刺蛾,柑橘,危害
枣奕刺蛾,核桃,危害
枣奕刺蛾,芒果,危害
枣奕刺蛾,苹果,危害
枣桃六点天蛾,樱桃,危害
枣桃六点天蛾,苹果,危害
枣桃六点天蛾,葡萄,危害
枣桃六点天蛾,海棠,危害
枣桃六点天蛾,枇杷,危害
桃小食心虫,苹果,危害
星天牛,柑橘,危害
星天牛,无花果,危害
星天牛,枇杷,危害
星天牛,苹果,危害
星天牛,樱桃,危害
星天牛,核桃,危害
草履蚧,核桃,危害
草履蚧,苹果,危害
草履蚧,板栗,危害
日本龟蜡蚧,柑橘,危害
日本龟蜡蚧,无花果,危害
日本龟蜡蚧,芒果,危害
日本龟蜡蚧,苹果,危害
日本龟蜡蚧,山楂,危害
日本龟蜡蚧,樱桃,危害
日本龟蜡蚧,石榴,危害
康氏粉蚧,苹果,危害
康氏粉蚧,山楂,危害
康氏粉蚧,葡萄,危害
康氏粉蚧,核桃,危害
康氏粉蚧,柑橘,危害
康氏粉蚧,无花果,危害
康氏粉蚧,荔枝,危害
康氏粉蚧,石榴,危害
黑绒金龟子,苹果,危害
黑绒金龟子,山楂,危害
八点广翅蜡蝉,苹果,危害
八点广翅蜡蝉,樱桃,危害
八点广翅蜡蝉,山楂,危害
八点广翅蜡蝉,柑橘,危害
柿疯病,柿树,危害
柿炭疽病,柿树,危害
柿灰霉病,柿树,危害
柿角斑病,柿树,危害
柿圆斑病,柿树,危害
柿黑星病,柿树,危害
柿干枯病,柿树,危害
柿蒂虫,黑枣,危害
柿蒂虫,柿树,危害
柿星尺蠖,黑枣,危害
柿星尺蠖,苹果,危害
舞毒蛾,苹果,危害
舞毒蛾,核桃,危害
舞毒蛾,山楂,危害
折带黄毒蛾,苹果,危害
折带黄毒蛾,海棠,危害
折带黄毒蛾,山楂,危害
折带黄毒蛾,樱桃,危害
折带黄毒蛾,枇杷,危害
折带黄毒蛾,石榴,危害
折带黄毒蛾,蔷薇,危害
褐点粉灯蛾,高粱,危害
褐点粉灯蛾,蓖麻,危害
褐点粉灯蛾,大豆,危害
柿小叶蝉,葡萄,危害
柿绒蚧,黑枣,危害
柿绒蚧,柿树,危害
柿长绵粉蚧,苹果,危害
柿长绵粉蚧,枇杷,危害
苹果梢夜蛾,苹果,危害
木橑尺蠖,木橑,危害
木橑尺蠖,核桃,危害
木橑尺蠖,苹果,危害
木橑尺蠖,葡萄,危害
木橑尺蠖,山楂,危害
木橑尺蠖,杂草,危害
黑圆角蝉,柑桔,危害
黑圆角蝉,山楂,危害
黑圆角蝉,枸杞,危害
铜绿丽金龟,苹果,危害
铜绿丽金龟,山楂,危害
铜绿丽金龟,樱桃,危害
铜绿丽金龟,葡萄,危害
铜绿丽金龟,核桃,危害
铜绿丽金龟,草莓,危害
铜绿丽金龟,醋栗,危害
铜绿丽金龟,豆类,危害
石榴干腐病,石榴,危害
石榴根结线虫病,经济作物,危害
石榴根结线虫病,果树,危害
石榴根结线虫病,观赏植物,危害
石榴根结线虫病,杂草,危害
石榴巾夜蛾,石榴,危害
石榴巾夜蛾,月季,危害
石榴巾夜蛾,番石榴,危害
石榴裂果,石榴,危害
桃蛀螟,桃树,危害
桃蛀螟,苹果,危害
桃蛀螟,石榴,危害
桃蛀螟,板栗,危害
桃蛀螟,山楂,危害
桃蛀螟,枇杷,危害
桃蛀螟,龙眼,危害
桃蛀螟,荔枝,危害
樗蚕蛾,石榴,危害
樗蚕蛾,柑橘,危害
樗蚕蛾,花椒,危害
樗蚕蛾,蓖麻,危害
石榴绒蚧,石榴,危害
麻皮蝽,苹果,危害
柑橘裂皮病,柑橘,危害
柑橘裂皮病,枳橙,危害
柑橘裂皮病,蔾檬,危害
柑橘煤污病,柑橘,危害
柑橘黄龙病,柑橘,危害
柑橘溃疡病,柑橘,危害
柑橘赤衣病,柑橘,危害
柑橘黑腐病,柑橘,危害
嘴壶夜蛾,通草,危害
嘴壶夜蛾,薯蓣,危害
鸟嘴壶夜蛾,柑橘,危害
鸟嘴壶夜蛾,葡萄,危害
鸟嘴壶夜蛾,苹果,危害
柑橘花蕾蛆,柑橘类,危害
柑橘小实蝇,害柑,危害
柑橘小实蝇,芒,危害
柑橘小实蝇,枇,危害
柑橘小实蝇,无花果,危害
橘二叉蚜,柑橘类,危害
橘二叉蚜,荔枝,危害
橘二叉蚜,香蕉,危害
橘二叉蚜,菠萝,危害
橘二叉蚜,可可,危害
橘二叉蚜,咖啡,危害
橘二叉蚜,胡椒,危害
橘蚜,柑橘类,危害
大绿蝽,柑橘,危害
大绿蝽,苹,危害
大绿蝽,梨,危害
黑刺粉虱,柑橘,危害
黑刺粉虱,枇杷,危害
黑刺粉虱,苹果,危害
黑刺粉虱,葡萄,危害
黑刺粉虱,龙眼,危害
黑刺粉虱,香蕉,危害
黑刺粉虱,橄榄,危害
柑橘木虱,柑橘类,危害
柑橘木虱,柠檬,危害
柑橘木虱,九里香,危害
吹绵蚧,柑橘,危害
吹绵蚧,海桐,危害
吹绵蚧,木麻黄,危害
吹绵蚧,台湾相思,危害
堆蜡粉蚧,柑橘,危害
堆蜡粉蚧,菠萝,危害
堆蜡粉蚧,芒果,危害
堆蜡粉蚧,龙眼,危害
堆蜡粉蚧,葡萄,危害
矢尖蚧,柑橘类,危害
矢尖蚧,龙眼,危害
矢尖蚧,番石榴,危害
红蜡蚧,柑橘,危害
红蜡蚧,苹果,危害
红蜡蚧,樱桃,危害
红蜡蚧,荔枝,危害
红蜡蚧,杨梅,危害
红蜡蚧,无花果,危害
红蜡蚧,忙果,危害
红蜡蚧,石榴,危害
褐圆蚧,柑橘,危害
褐圆蚧,柠檬,危害
褐圆蚧,椰子,危害
褐圆蚧,香蕉,危害
褐圆蚧,无花果,危害
糠片蚧,柑橘,危害
糠片蚧,柠檬,危害
糠片蚧,无花果,危害
糠片蚧,苹果,危害
糠片蚧,樱桃,危害
糠片蚧,葡萄,危害
柑橘全爪螨,柑橘类,危害
柑橘全爪螨,沙梨,危害
柑橘全爪螨,蒲桃,危害
柑橘始叶螨,柑橘类,危害
柑橘始叶螨,葡萄,危害
柑橘始叶螨,戴豆,危害
柑橘始叶螨,小旋花,危害
柑橘始叶螨,蟋蟀草,危害
柑橘凤蝶,芸香,危害
柑橘凤蝶,花椒,危害
柑橘凤蝶,小茴香,危害
柑橘凤蝶,胡萝卜,危害
拟小黄卷叶蛾,荔枝,危害
拟小黄卷叶蛾,龙眼,危害
拟小黄卷叶蛾,柑橘,危害
拟小黄卷叶蛾,茶树,危害
拟小黄卷叶蛾,茉莉,危害
茶蓑蛾,苹果,危害
茶蓑蛾,樱桃,危害
茶蓑蛾,柑橘,危害
茶蓑蛾,石榴,危害
茶蓑蛾,葡萄,危害
茶蓑蛾,枇杷,危害
茶蓑蛾,花椒,危害
茶蓑蛾,山茶,危害
油桐尺蛾,柑橘,危害
