entity,part,relation
草莓根腐病,草莓,危害部位
草莓革腐病,果实,危害部位
草莓革腐病,小苗,危害部位
柿疯病,枝干,危害部位
柿炭疽病,枝干,危害部位
柿炭疽病,叶片,危害部位
柿炭疽病,果实,危害部位
柿灰霉病,叶片,危害部位
柿灰霉病,果实,危害部位
柿角斑病,叶片,危害部位
柿角斑病,果实,危害部位
柿圆斑病,叶片,危害部位
柿圆斑病,果实,危害部位
柿黑星病,枝干,危害部位
柿黑星病,叶片,危害部位
柿黑星病,果实,危害部位
石榴干腐病,枝干,危害部位
石榴干腐病,花器,危害部位
石榴干腐病,果实,危害部位
石榴黑斑病,叶片,危害部位
柑橘疮痂病,枝干,危害部位
柑橘疮痂病,叶片,危害部位
柑橘疮痂病,花器,危害部位
柑橘疮痂病,果实,危害部位
柑橘炭疽病,叶片,危害部位
柑橘炭疽病,枝干,危害部位
柑橘炭疽病,果实,危害部位
柑橘裂皮病,枝干,危害部位
柑橘裂皮病,叶片,危害部位
柑橘裂皮病,花器,危害部位
柑橘裂皮病,果实,危害部位
柑橘裂皮病,全株,危害部位
柑橘黄龙病,根系,危害部位
柑橘黄龙病,枝干,危害部位
柑橘黄龙病,叶片,危害部位
柑橘黄龙病,果实,危害部位
柑橘溃疡病,叶片,危害部位
柑橘溃疡病,枝梢,危害部位
柑橘溃疡病,果实,危害部位
柑橘树脂病,枝干,危害部位
柑橘树脂病,叶片,危害部位
柑橘树脂病,果实,危害部位
荔枝霜疫霉病,枝干,危害部位
荔枝霜疫霉病,叶片,危害部位
荔枝霜疫霉病,果实,危害部位
荔枝炭疽病,枝干,危害部位
荔枝炭疽病,叶片,危害部位
荔枝炭疽病,果实,危害部位
荔枝藻斑病,叶片,危害部位
荔枝藻斑病,树皮,危害部位
枇杷灰斑病,叶片,危害部位
枇杷灰斑病,果实,危害部位
枇杷斑点病,叶片,危害部位
香蕉黑星病,叶片,危害部位
香蕉黑星病,果实,危害部位
香蕉束顶病,根系,危害部位
香蕉束顶病,叶片,危害部位
香蕉束顶病,花器,危害部位
香蕉束顶病,果实,危害部位
香蕉束顶病,植株,危害部位
樱桃褐腐病,叶部,危害部位
樱桃褐腐病,花朵,危害部位
樱桃褐腐病,果实,危害部位
樱桃炭疽病,叶部,危害部位
樱桃炭疽病,果实,危害部位
梅灰霉病,花器,危害部位
梅灰霉病,果实,危害部位
梅溃疡病,枝干,危害部位
梅溃疡病,叶片,危害部位
梅溃疡病,果实,危害部位
梅黑星病,枝干,危害部位
梅黑星病,叶片,危害部位
梅黑星病,果实,危害部位
葡萄白腐病,枝干,危害部位
葡萄白腐病,叶片,危害部位
葡萄白腐病,果实,危害部位
葡萄大房枯病,枝干,危害部位
葡萄黑痘病,枝蔓,危害部位
葡萄黑痘病,叶片,危害部位
葡萄黑痘病,果实,危害部位
葡萄白粉病,枝蔓,危害部位
葡萄白粉病,叶片,危害部位
葡萄白粉病,果实,危害部位
葡萄皮尔斯病,根部,危害部位
