number,Chinese entity name,entity binomial scientific name,Chinese sym,English sym,Chinese relation,English relation
1,香蕉黑带象甲,Cosmopolites sordidus,蛀孔呈方形,Square shaped holes,存在症状,ManifestAs
2,香蕉弄蝶,Catopsilia pomona,叶苞,Leaf bract,存在症状,ManifestAs
3,香蕉弄蝶,Catopsilia pomona,蕉叶残缺不全,Incomplete banana leaves,存在症状,ManifestAs
4,草莓枯萎病,Fusarium oxysporum,心叶变黄绿色或黄绿色卷曲,The heart leaves turn yellow-green or yellow-green and curl up,存在症状,ManifestAs
5,草莓枯萎病,Fusarium oxysporum,变小变狭,Become smaller and narrower,存在症状,ManifestAs
6,草莓枯萎病,Fusarium oxysporum,呈船形,Boat-shaped,存在症状,ManifestAs
7,草莓枯萎病,Fusarium oxysporum,叶片无光泽,Leaves are dull,存在症状,ManifestAs
8,草莓枯萎病,Fusarium oxysporum,叶片变紫色枯萎,Leaves turn purple and wither,存在症状,ManifestAs
9,草莓枯萎病,Fusarium oxysporum,叶缘褐色向内卷,Brown leaf margins curled inwards,存在症状,ManifestAs
10,草莓枯萎病,Fusarium oxysporum,根系呈黑褐色,Dark brown roots,存在症状,ManifestAs
11,草莓枯萎病,Fusarium oxysporum,紫红色的分生孢子,Purple-red conidia,存在症状,ManifestAs
12,草莓根腐病,Fusarium oxysporum,茎变为褐色,The stem turns brown,存在症状,ManifestAs
13,草莓根腐病,Fusarium oxysporum,黄色或红色,Yellow or red,存在症状,ManifestAs
14,草莓根腐病,Fusarium oxysporum,蓝绿色金属光泽,Blue green metallic luster,存在症状,ManifestAs
15,草莓根腐病,Fusarium oxysporum,长的红褐色或黑褐色梭形,Long reddish brown or dark brown spindle-shaped,存在症状,ManifestAs
16,草莓根腐病,Fusarium oxysporum,中柱呈暗红色,Dark red center column,存在症状,ManifestAs
17,草莓炭疽病,Phytophthora cactorum,局部病斑,Local lesions,存在症状,ManifestAs
18,草莓炭疽病,Phytophthora cactorum,溃疡状稍凹,Slightly concave ulcer,存在症状,ManifestAs
19,草莓炭疽病,Phytophthora cactorum,棕红色病斑,Brown-red spots,存在症状,ManifestAs
20,草莓炭疽病,Phytophthora cactorum,叶片白天萎蔫,Leaves wilt during the day,存在症状,ManifestAs
21,草莓炭疽病,Phytophthora cactorum,褐色或黑色,Brown or black,存在症状,ManifestAs
22,草莓蛇眼病,Colletotrichum acutatum,暗紫色小班点,Dark purple small spots,存在症状,ManifestAs
23,草莓蛇眼病,Colletotrichum acutatum,近圆形或椭圆形病斑,Nearly round or oval lesions,存在症状,ManifestAs
24,草莓蛇眼病,Colletotrichum acutatum,边缘紫红褐色,Edge purple brown,存在症状,ManifestAs
